instances,totargs,totedges,density,totlayers,totsccs,totntsccs,avgntsize,maxsccsize,totoddcycles,isbipartite,maxwidth,t_c,nt_c,mx,mx2,mx3,mx4,px
2021/instances/2021/b_10_10_10.tgf,409400,38658108,0.369455,1,1,1,409400,409400,-1,0,1,0,3.89E+192,3.89E+192,3.70E+192,1.92E+96,1.92E+96,1.92E+96
2021/instances/2021/b_10_1_10.tgf,409400,25632162,0.244966,1,1,1,409400,409400,-1,0,1,0,3.96E+192,3.96E+192,3.83E+192,1.96E+96,1.96E+96,1.96E+96
2021/instances/2021/b_10_2_10.tgf,409400,27100593,0.259,1,1,1,409400,409400,-1,0,1,0,3.95E+192,3.95E+192,3.81E+192,1.95E+96,1.95E+96,1.95E+96
2021/instances/2021/b_10_3_10.tgf,409400,28558545,0.272934,1,1,1,409400,409400,-1,0,1,0,3.94E+192,3.94E+192,3.80E+192,1.95E+96,1.95E+96,1.95E+96
2021/instances/2021/b_10_4_10.tgf,409400,30026007,0.286958,1,1,1,409400,409400,-1,0,1,0,3.93E+192,3.93E+192,3.78E+192,1.94E+96,1.94E+96,1.94E+96
2021/instances/2021/b_10_5_10.tgf,409400,31322453,0.299348,1,1,1,409400,409400,-1,0,1,0,3.93E+192,3.93E+192,3.77E+192,1.94E+96,1.94E+96,1.94E+96
2021/instances/2021/b_10_6_10.tgf,409400,32913621,0.314555,1,1,1,409400,409400,-1,0,1,0,3.92E+192,3.92E+192,3.75E+192,1.94E+96,1.94E+96,1.94E+96
2021/instances/2021/b_10_7_10.tgf,409400,34364845,0.328424,1,1,1,409400,409400,-1,0,1,0,3.91E+192,3.91E+192,3.74E+192,1.93E+96,1.93E+96,1.93E+96
2021/instances/2021/b_10_8_10.tgf,409400,35798494,0.342126,1,1,1,409400,409400,-1,0,1,0,3.90E+192,3.90E+192,3.72E+192,1.93E+96,1.93E+96,1.93E+96
2021/instances/2021/b_10_9_10.tgf,409400,37236217,0.355866,1,1,1,409400,409400,-1,0,1,0,3.90E+192,3.90E+192,3.71E+192,1.93E+96,1.93E+96,1.93E+96
2021/instances/2021/b_5_10_10.tgf,12600,953850,0.00600813,1,1,1,12600,12600,547661,0,1,0,4.89E+33,4.89E+33,3.87E+33,6.22E+16,6.22E+16,6.22E+16
2021/instances/2021/b_5_10_6.tgf,12600,948484,0.00597433,1,1,1,12600,12600,578095,0,1,0,4.89E+33,4.89E+33,3.88E+33,6.23E+16,6.23E+16,6.23E+16
2021/instances/2021/b_5_10_7.tgf,12600,940174,0.00592198,1,1,1,12600,12600,640311,0,1,0,4.90E+33,4.90E+33,3.89E+33,6.24E+16,6.24E+16,6.24E+16
2021/instances/2021/b_5_10_8.tgf,12600,952459,0.00599936,1,1,1,12600,12600,578183,0,1,0,4.89E+33,4.89E+33,3.87E+33,6.22E+16,6.22E+16,6.22E+16
2021/instances/2021/b_5_1_10.tgf,12600,765047,0.00481889,1,1,1,12600,12600,505626,0,1,0,5.12E+33,5.12E+33,4.24E+33,6.51E+16,6.51E+16,6.51E+16
2021/instances/2021/b_5_2_10.tgf,12600,785260,0.00494621,1,1,1,12600,12600,536060,0,1,0,5.09E+33,5.09E+33,4.20E+33,6.48E+16,6.48E+16,6.48E+16
2021/instances/2021/b_5_2_7.tgf,12600,785817,0.00494972,1,1,1,12600,12600,465349,0,1,0,5.09E+33,5.09E+33,4.20E+33,6.48E+16,6.48E+16,6.48E+16
2021/instances/2021/b_5_2_8.tgf,12600,785436,0.00494732,1,1,1,12600,12600,518629,0,1,0,5.09E+33,5.09E+33,4.20E+33,6.48E+16,6.48E+16,6.48E+16
2021/instances/2021/b_5_2_9.tgf,12600,785206,0.00494587,1,1,1,12600,12600,472700,0,1,0,5.09E+33,5.09E+33,4.20E+33,6.48E+16,6.48E+16,6.48E+16
2021/instances/2021/b_5_3_10.tgf,12600,804906,0.00506995,1,1,1,12600,12600,476752,0,1,0,5.07E+33,5.07E+33,4.16E+33,6.45E+16,6.45E+16,6.45E+16
2021/instances/2021/b_5_4_10.tgf,12600,827372,0.00521146,1,1,1,12600,12600,498298,0,1,0,5.04E+33,5.04E+33,4.12E+33,6.42E+16,6.42E+16,6.42E+16
2021/instances/2021/b_5_4_6.tgf,12600,825541,0.00519993,1,1,1,12600,12600,498654,0,1,0,5.04E+33,5.04E+33,4.12E+33,6.42E+16,6.42E+16,6.42E+16
2021/instances/2021/b_5_4_7.tgf,12600,824894,0.00519586,1,1,1,12600,12600,547135,0,1,0,5.04E+33,5.04E+33,4.12E+33,6.42E+16,6.42E+16,6.42E+16
2021/instances/2021/b_5_4_8.tgf,12600,825942,0.00520246,1,1,1,12600,12600,558858,0,1,0,5.04E+33,5.04E+33,4.12E+33,6.42E+16,6.42E+16,6.42E+16
2021/instances/2021/b_5_4_9.tgf,12600,829485,0.00522477,1,1,1,12600,12600,562017,0,1,0,5.04E+33,5.04E+33,4.11E+33,6.41E+16,6.41E+16,6.41E+16
2021/instances/2021/b_5_5_10.tgf,12600,847782,0.00534002,1,1,1,12600,12600,461588,0,1,0,5.01E+33,5.01E+33,4.07E+33,6.38E+16,6.38E+16,6.38E+16
2021/instances/2021/b_5_6_10.tgf,12600,867435,0.00546381,1,1,1,12600,12600,593373,0,1,0,4.99E+33,4.99E+33,4.04E+33,6.35E+16,6.35E+16,6.35E+16
2021/instances/2021/b_5_6_6.tgf,12600,869807,0.00547875,1,1,1,12600,12600,493150,0,1,0,4.99E+33,4.99E+33,4.03E+33,6.35E+16,6.35E+16,6.35E+16
2021/instances/2021/b_5_6_7.tgf,12600,868098,0.00546799,1,1,1,12600,12600,514941,0,1,0,4.99E+33,4.99E+33,4.03E+33,6.35E+16,6.35E+16,6.35E+16
2021/instances/2021/b_5_6_8.tgf,12600,862505,0.00543276,1,1,1,12600,12600,485627,0,1,0,5.00E+33,5.00E+33,4.05E+33,6.36E+16,6.36E+16,6.36E+16
2021/instances/2021/b_5_6_9.tgf,12600,864176,0.00544329,1,1,1,12600,12600,489456,0,1,0,4.99E+33,4.99E+33,4.04E+33,6.36E+16,6.36E+16,6.36E+16
2021/instances/2021/b_5_7_10.tgf,12600,884257,0.00556977,1,1,1,12600,12600,541621,0,1,0,4.97E+33,4.97E+33,4.00E+33,6.33E+16,6.33E+16,6.33E+16
2021/instances/2021/b_5_8_10.tgf,12600,904102,0.00569477,1,1,1,12600,12600,608682,0,1,0,4.95E+33,4.95E+33,3.96E+33,6.30E+16,6.30E+16,6.30E+16
2021/instances/2021/b_5_8_6.tgf,12600,909060,0.005726,1,1,1,12600,12600,602183,0,1,0,4.94E+33,4.94E+33,3.95E+33,6.29E+16,6.29E+16,6.29E+16
2021/instances/2021/b_5_8_7.tgf,12600,901134,0.00567608,1,1,1,12600,12600,483883,0,1,0,4.95E+33,4.95E+33,3.97E+33,6.30E+16,6.30E+16,6.30E+16
2021/instances/2021/b_5_8_8.tgf,12600,906461,0.00570963,1,1,1,12600,12600,605095,0,1,0,4.94E+33,4.94E+33,3.96E+33,6.29E+16,6.29E+16,6.29E+16
2021/instances/2021/b_5_8_9.tgf,12600,907740,0.00571769,1,1,1,12600,12600,514815,0,1,0,4.94E+33,4.94E+33,3.96E+33,6.29E+16,6.29E+16,6.29E+16
2021/instances/2021/b_5_9_10.tgf,12600,922947,0.00581347,1,1,1,12600,12600,615371,0,1,0,4.92E+33,4.92E+33,3.93E+33,6.27E+16,6.27E+16,6.27E+16
2021/instances/2021/b_6_10_10.tgf,25400,1995744,0.00309341,1,1,1,25400,25400,1071675,0,1,0,7.98E+47,7.98E+47,6.73E+47,8.20E+23,8.20E+23,8.20E+23
2021/instances/2021/b_6_10_6.tgf,25400,2000390,0.00310061,1,1,1,25400,25400,1152415,0,1,0,7.98E+47,7.98E+47,6.72E+47,8.20E+23,8.20E+23,8.20E+23
2021/instances/2021/b_6_10_7.tgf,25400,2000227,0.00310036,1,1,1,25400,25400,1108325,0,1,0,7.98E+47,7.98E+47,6.72E+47,8.20E+23,8.20E+23,8.20E+23
2021/instances/2021/b_6_10_8.tgf,25400,2013103,0.00312032,1,1,1,25400,25400,1368822,0,1,0,7.97E+47,7.97E+47,6.71E+47,8.19E+23,8.19E+23,8.19E+23
2021/instances/2021/b_6_10_9.tgf,25400,2008686,0.00311347,1,1,1,25400,25400,1138002,0,1,0,7.97E+47,7.97E+47,6.71E+47,8.19E+23,8.19E+23,8.19E+23
2021/instances/2021/b_6_1_10.tgf,25400,1550942,0.00240396,1,1,1,25400,25400,1070997,0,1,0,8.29E+47,8.29E+47,7.26E+47,8.52E+23,8.52E+23,8.52E+23
2021/instances/2021/b_6_2_10.tgf,25400,1598795,0.00247814,1,1,1,25400,25400,1115931,0,1,0,8.26E+47,8.26E+47,7.20E+47,8.49E+23,8.49E+23,8.49E+23
2021/instances/2021/b_6_2_6.tgf,25400,1599439,0.00247914,1,1,1,25400,25400,1087354,0,1,0,8.26E+47,8.26E+47,7.20E+47,8.49E+23,8.49E+23,8.49E+23
2021/instances/2021/b_6_2_7.tgf,25400,1601784,0.00248277,1,1,1,25400,25400,968285,0,1,0,8.25E+47,8.25E+47,7.20E+47,8.48E+23,8.48E+23,8.48E+23
2021/instances/2021/b_6_2_8.tgf,25400,1601630,0.00248253,1,1,1,25400,25400,984903,0,1,0,8.25E+47,8.25E+47,7.20E+47,8.48E+23,8.48E+23,8.48E+23
2021/instances/2021/b_6_2_9.tgf,25400,1601686,0.00248262,1,1,1,25400,25400,964466,0,1,0,8.25E+47,8.25E+47,7.20E+47,8.48E+23,8.48E+23,8.48E+23
2021/instances/2021/b_6_3_10.tgf,25400,1652091,0.00256075,1,1,1,25400,25400,934264,0,1,0,8.22E+47,8.22E+47,7.14E+47,8.45E+23,8.45E+23,8.45E+23
2021/instances/2021/b_6_4_10.tgf,25400,1703518,0.00264046,1,1,1,25400,25400,941568,0,1,0,8.18E+47,8.18E+47,7.07E+47,8.41E+23,8.41E+23,8.41E+23
2021/instances/2021/b_6_4_6.tgf,25400,1704931,0.00264265,1,1,1,25400,25400,1141896,0,1,0,8.18E+47,8.18E+47,7.07E+47,8.41E+23,8.41E+23,8.41E+23
2021/instances/2021/b_6_4_7.tgf,25400,1701126,0.00263675,1,1,1,25400,25400,1152828,0,1,0,8.18E+47,8.18E+47,7.08E+47,8.41E+23,8.41E+23,8.41E+23
2021/instances/2021/b_6_4_8.tgf,25400,1701456,0.00263726,1,1,1,25400,25400,955666,0,1,0,8.18E+47,8.18E+47,7.08E+47,8.41E+23,8.41E+23,8.41E+23
2021/instances/2021/b_6_4_9.tgf,25400,1702324,0.00263861,1,1,1,25400,25400,1027061,0,1,0,8.18E+47,8.18E+47,7.07E+47,8.41E+23,8.41E+23,8.41E+23
2021/instances/2021/b_6_5_10.tgf,25400,1755565,0.00272113,1,1,1,25400,25400,952610,0,1,0,8.15E+47,8.15E+47,7.01E+47,8.37E+23,8.37E+23,8.37E+23
2021/instances/2021/b_6_6_10.tgf,25400,1803904,0.00279606,1,1,1,25400,25400,1000337,0,1,0,8.11E+47,8.11E+47,6.95E+47,8.34E+23,8.34E+23,8.34E+23
2021/instances/2021/b_6_6_6.tgf,25400,1810333,0.00280602,1,1,1,25400,25400,1015604,0,1,0,8.11E+47,8.11E+47,6.94E+47,8.33E+23,8.33E+23,8.33E+23
2021/instances/2021/b_6_6_7.tgf,25400,1792073,0.00277772,1,1,1,25400,25400,1199201,0,1,0,8.12E+47,8.12E+47,6.97E+47,8.35E+23,8.35E+23,8.35E+23
2021/instances/2021/b_6_6_8.tgf,25400,1803753,0.00279582,1,1,1,25400,25400,1244264,0,1,0,8.11E+47,8.11E+47,6.95E+47,8.34E+23,8.34E+23,8.34E+23
2021/instances/2021/b_6_6_9.tgf,25400,1805682,0.00279881,1,1,1,25400,25400,1220596,0,1,0,8.11E+47,8.11E+47,6.95E+47,8.34E+23,8.34E+23,8.34E+23
2021/instances/2021/b_6_7_10.tgf,25400,1853697,0.00287324,1,1,1,25400,25400,993850,0,1,0,8.08E+47,8.08E+47,6.89E+47,8.30E+23,8.30E+23,8.30E+23
2021/instances/2021/b_6_8_10.tgf,25400,1907715,0.00295696,1,1,1,25400,25400,1279147,0,1,0,8.04E+47,8.04E+47,6.83E+47,8.26E+23,8.26E+23,8.26E+23
2021/instances/2021/b_6_8_6.tgf,25400,1899433,0.00294413,1,1,1,25400,25400,1152681,0,1,0,8.05E+47,8.05E+47,6.84E+47,8.27E+23,8.27E+23,8.27E+23
2021/instances/2021/b_6_8_7.tgf,25400,1900402,0.00294563,1,1,1,25400,25400,989890,0,1,0,8.05E+47,8.05E+47,6.84E+47,8.27E+23,8.27E+23,8.27E+23
2021/instances/2021/b_6_8_8.tgf,25400,1905890,0.00295414,1,1,1,25400,25400,1312241,0,1,0,8.04E+47,8.04E+47,6.83E+47,8.27E+23,8.27E+23,8.27E+23
2021/instances/2021/b_6_8_9.tgf,25400,1902760,0.00294928,1,1,1,25400,25400,1090308,0,1,0,8.04E+47,8.04E+47,6.84E+47,8.27E+23,8.27E+23,8.27E+23
2021/instances/2021/b_6_9_10.tgf,25400,1952576,0.0030265,1,1,1,25400,25400,1327676,0,1,0,8.01E+47,8.01E+47,6.78E+47,8.23E+23,8.23E+23,8.23E+23
2021/instances/2021/b_7_10_10.tgf,51000,4213078,0.00161979,1,1,1,51000,51000,-1,0,1,0,8.45E+67,8.45E+67,7.45E+67,8.63E+33,8.63E+33,8.63E+33
2021/instances/2021/b_7_10_6.tgf,51000,4210328,0.00161873,1,1,1,51000,51000,-1,0,1,0,8.45E+67,8.45E+67,7.45E+67,8.63E+33,8.63E+33,8.63E+33
2021/instances/2021/b_7_10_7.tgf,51000,4215261,0.00162063,1,1,1,51000,51000,-1,0,1,0,8.45E+67,8.45E+67,7.45E+67,8.63E+33,8.63E+33,8.63E+33
2021/instances/2021/b_7_10_8.tgf,51000,4226936,0.00162512,1,1,1,51000,51000,-1,0,1,0,8.45E+67,8.45E+67,7.44E+67,8.63E+33,8.63E+33,8.63E+33
2021/instances/2021/b_7_10_9.tgf,51000,4205435,0.00161685,1,1,1,51000,51000,-1,0,1,0,8.46E+67,8.46E+67,7.45E+67,8.63E+33,8.63E+33,8.63E+33
2021/instances/2021/b_7_1_10.tgf,51000,3132477,0.00120434,1,1,1,51000,51000,-1,0,1,0,8.73E+67,8.73E+67,7.95E+67,8.92E+33,8.92E+33,8.92E+33
2021/instances/2021/b_7_2_10.tgf,51000,3254214,0.00125114,1,1,1,51000,51000,-1,0,1,0,8.70E+67,8.70E+67,7.89E+67,8.88E+33,8.88E+33,8.88E+33
2021/instances/2021/b_7_2_6.tgf,51000,3252939,0.00125065,1,1,1,51000,51000,-1,0,1,0,8.70E+67,8.70E+67,7.89E+67,8.88E+33,8.88E+33,8.88E+33
2021/instances/2021/b_7_2_7.tgf,51000,3256310,0.00125195,1,1,1,51000,51000,-1,0,1,0,8.70E+67,8.70E+67,7.89E+67,8.88E+33,8.88E+33,8.88E+33
2021/instances/2021/b_7_2_8.tgf,51000,3255344,0.00125157,1,1,1,51000,51000,-1,0,1,0,8.70E+67,8.70E+67,7.89E+67,8.88E+33,8.88E+33,8.88E+33
2021/instances/2021/b_7_2_9.tgf,51000,3256313,0.00125195,1,1,1,51000,51000,-1,0,1,0,8.70E+67,8.70E+67,7.89E+67,8.88E+33,8.88E+33,8.88E+33
2021/instances/2021/b_7_3_10.tgf,51000,3370981,0.00129603,1,1,1,51000,51000,-1,0,1,0,8.67E+67,8.67E+67,7.83E+67,8.85E+33,8.85E+33,8.85E+33
2021/instances/2021/b_7_4_10.tgf,51000,3498608,0.0013451,1,1,1,51000,51000,-1,0,1,0,8.64E+67,8.64E+67,7.78E+67,8.82E+33,8.82E+33,8.82E+33
2021/instances/2021/b_7_4_6.tgf,51000,3498315,0.00134499,1,1,1,51000,51000,-1,0,1,0,8.64E+67,8.64E+67,7.78E+67,8.82E+33,8.82E+33,8.82E+33
2021/instances/2021/b_7_4_7.tgf,51000,3497688,0.00134475,1,1,1,51000,51000,-1,0,1,0,8.64E+67,8.64E+67,7.78E+67,8.82E+33,8.82E+33,8.82E+33
2021/instances/2021/b_7_4_8.tgf,51000,3501846,0.00134635,1,1,1,51000,51000,-1,0,1,0,8.64E+67,8.64E+67,7.77E+67,8.82E+33,8.82E+33,8.82E+33
2021/instances/2021/b_7_4_9.tgf,51000,3492057,0.00134258,1,1,1,51000,51000,-1,0,1,0,8.64E+67,8.64E+67,7.78E+67,8.82E+33,8.82E+33,8.82E+33
2021/instances/2021/b_7_5_10.tgf,51000,3621033,0.00139217,1,1,1,51000,51000,-1,0,1,0,8.61E+67,8.61E+67,7.72E+67,8.79E+33,8.79E+33,8.79E+33
2021/instances/2021/b_7_6_10.tgf,51000,3744536,0.00143965,1,1,1,51000,51000,-1,0,1,0,8.57E+67,8.57E+67,7.66E+67,8.75E+33,8.75E+33,8.75E+33
2021/instances/2021/b_7_6_7.tgf,51000,3734716,0.00143588,1,1,1,51000,51000,-1,0,1,0,8.58E+67,8.58E+67,7.67E+67,8.76E+33,8.76E+33,8.76E+33
2021/instances/2021/b_7_6_8.tgf,51000,3733516,0.00143542,1,1,1,51000,51000,-1,0,1,0,8.58E+67,8.58E+67,7.67E+67,8.76E+33,8.76E+33,8.76E+33
2021/instances/2021/b_7_6_9.tgf,51000,3745087,0.00143986,1,1,1,51000,51000,-1,0,1,0,8.57E+67,8.57E+67,7.66E+67,8.75E+33,8.75E+33,8.75E+33
2021/instances/2021/b_7_7_10.tgf,51000,3856631,0.00148275,1,1,1,51000,51000,-1,0,1,0,8.55E+67,8.55E+67,7.61E+67,8.72E+33,8.72E+33,8.72E+33
2021/instances/2021/b_7_8_10.tgf,51000,3981828,0.00153088,1,1,1,51000,51000,-1,0,1,0,8.51E+67,8.51E+67,7.55E+67,8.69E+33,8.69E+33,8.69E+33
2021/instances/2021/b_7_8_6.tgf,51000,3972935,0.00152746,1,1,1,51000,51000,-1,0,1,0,8.52E+67,8.52E+67,7.56E+67,8.69E+33,8.69E+33,8.69E+33
2021/instances/2021/b_7_8_7.tgf,51000,3973989,0.00152787,1,1,1,51000,51000,-1,0,1,0,8.52E+67,8.52E+67,7.56E+67,8.69E+33,8.69E+33,8.69E+33
2021/instances/2021/b_7_8_8.tgf,51000,3978624,0.00152965,1,1,1,51000,51000,-1,0,1,0,8.51E+67,8.51E+67,7.55E+67,8.69E+33,8.69E+33,8.69E+33
2021/instances/2021/b_7_8_9.tgf,51000,3977758,0.00152932,1,1,1,51000,51000,-1,0,1,0,8.51E+67,8.51E+67,7.55E+67,8.69E+33,8.69E+33,8.69E+33
2021/instances/2021/b_7_9_10.tgf,51000,4105838,0.00157856,1,1,1,51000,51000,-1,0,1,0,8.48E+67,8.48E+67,7.50E+67,8.66E+33,8.66E+33,8.66E+33
2021/instances/2021/b_8_10_10.tgf,102200,8840064,0.00476578,1,1,1,102200,102200,-1,0,1,0,1.57E+96,1.57E+96,1.43E+96,1.19E+48,1.19E+48,1.19E+48
2021/instances/2021/b_8_10_6.tgf,102200,8853289,0.00477291,1,1,1,102200,102200,-1,0,1,0,1.57E+96,1.57E+96,1.43E+96,1.19E+48,1.19E+48,1.19E+48
2021/instances/2021/b_8_10_7.tgf,102200,8834359,0.0047627,1,1,1,102200,102200,-1,0,1,0,1.57E+96,1.57E+96,1.43E+96,1.19E+48,1.19E+48,1.19E+48
2021/instances/2021/b_8_10_8.tgf,102200,8848213,0.00477017,1,1,1,102200,102200,-1,0,1,0,1.57E+96,1.57E+96,1.43E+96,1.19E+48,1.19E+48,1.19E+48
2021/instances/2021/b_8_10_9.tgf,102200,8827138,0.00475881,1,1,1,102200,102200,-1,0,1,0,1.57E+96,1.57E+96,1.43E+96,1.19E+48,1.19E+48,1.19E+48
2021/instances/2021/b_8_1_10.tgf,102200,6318123,0.00340617,1,1,1,102200,102200,-1,0,1,0,1.61E+96,1.61E+96,1.50E+96,1.23E+48,1.23E+48,1.23E+48
2021/instances/2021/b_8_2_10.tgf,102200,6607953,0.00356242,1,1,1,102200,102200,-1,0,1,0,1.60E+96,1.60E+96,1.49E+96,1.22E+48,1.22E+48,1.22E+48
2021/instances/2021/b_8_2_6.tgf,102200,6601697,0.00355905,1,1,1,102200,102200,-1,0,1,0,1.60E+96,1.60E+96,1.50E+96,1.22E+48,1.22E+48,1.22E+48
2021/instances/2021/b_8_2_8.tgf,102200,6604648,0.00356064,1,1,1,102200,102200,-1,0,1,0,1.60E+96,1.60E+96,1.49E+96,1.22E+48,1.22E+48,1.22E+48
2021/instances/2021/b_8_2_9.tgf,102200,6599710,0.00355798,1,1,1,102200,102200,-1,0,1,0,1.60E+96,1.60E+96,1.50E+96,1.22E+48,1.22E+48,1.22E+48
2021/instances/2021/b_8_3_10.tgf,102200,6889324,0.00371411,1,1,1,102200,102200,-1,0,1,0,1.60E+96,1.60E+96,1.49E+96,1.22E+48,1.22E+48,1.22E+48
2021/instances/2021/b_8_4_10.tgf,102200,7166990,0.0038638,1,1,1,102200,102200,-1,0,1,0,1.59E+96,1.59E+96,1.48E+96,1.22E+48,1.22E+48,1.22E+48
2021/instances/2021/b_8_4_6.tgf,102200,7171388,0.00386617,1,1,1,102200,102200,-1,0,1,0,1.59E+96,1.59E+96,1.48E+96,1.22E+48,1.22E+48,1.22E+48
2021/instances/2021/b_8_4_7.tgf,102200,7171140,0.00386604,1,1,1,102200,102200,-1,0,1,0,1.59E+96,1.59E+96,1.48E+96,1.22E+48,1.22E+48,1.22E+48
2021/instances/2021/b_8_4_8.tgf,102200,7166014,0.00386328,1,1,1,102200,102200,-1,0,1,0,1.59E+96,1.59E+96,1.48E+96,1.22E+48,1.22E+48,1.22E+48
2021/instances/2021/b_8_4_9.tgf,102200,7185984,0.00387404,1,1,1,102200,102200,-1,0,1,0,1.59E+96,1.59E+96,1.48E+96,1.22E+48,1.22E+48,1.22E+48
2021/instances/2021/b_8_5_10.tgf,102200,7443234,0.00401273,1,1,1,102200,102200,-1,0,1,0,1.59E+96,1.59E+96,1.47E+96,1.21E+48,1.21E+48,1.21E+48
2021/instances/2021/b_8_6_10.tgf,102200,7707621,0.00415526,1,1,1,102200,102200,-1,0,1,0,1.58E+96,1.58E+96,1.46E+96,1.21E+48,1.21E+48,1.21E+48
